"age","unit","sex","country","date","value"
"TOTAL","perc_act_pop","F","Austria",2017-04-01,4.7
"TOTAL","perc_act_pop","F","Austria",2017-03-01,5.4
"TOTAL","perc_act_pop","F","Austria",2017-02-01,4.9
"TOTAL","perc_act_pop","F","Austria",2017-01-01,5.3
"TOTAL","perc_act_pop","F","Austria",2016-12-01,4.9
"TOTAL","perc_act_pop","F","Austria",2016-11-01,5.5
"TOTAL","perc_act_pop","F","Austria",2016-10-01,5.4
"TOTAL","perc_act_pop","F","Austria",2016-09-01,5.9
"TOTAL","perc_act_pop","F","Austria",2016-08-01,6.3
"TOTAL","perc_act_pop","F","Austria",2016-07-01,5.3
"TOTAL","perc_act_pop","F","Austria",2016-06-01,5.6
"TOTAL","perc_act_pop","F","Austria",2016-05-01,5.9
"TOTAL","perc_act_pop","F","Austria",2016-04-01,5
"TOTAL","perc_act_pop","F","Austria",2016-03-01,5.7
"TOTAL","perc_act_pop","F","Austria",2016-02-01,5.5
"TOTAL","perc_act_pop","F","Austria",2016-01-01,5.6
"TOTAL","perc_act_pop","F","Austria",2015-12-01,5.4
"TOTAL","perc_act_pop","F","Austria",2015-11-01,6
"TOTAL","perc_act_pop","F","Austria",2015-10-01,4.9
"TOTAL","perc_act_pop","F","Austria",2015-09-01,5.1
"TOTAL","perc_act_pop","F","Austria",2015-08-01,5.1
"TOTAL","perc_act_pop","F","Austria",2015-07-01,5.4
"TOTAL","perc_act_pop","F","Austria",2015-06-01,5.2
"TOTAL","perc_act_pop","F","Austria",2015-05-01,5.6
"TOTAL","perc_act_pop","F","Austria",2015-04-01,5.4
"TOTAL","perc_act_pop","F","Austria",2015-03-01,5.2
"TOTAL","perc_act_pop","F","Austria",2015-02-01,5.6
"TOTAL","perc_act_pop","F","Austria",2015-01-01,5.2
"TOTAL","perc_act_pop","F","Austria",2014-12-01,5.2
"TOTAL","perc_act_pop","F","Austria",2014-11-01,5.8
"TOTAL","perc_act_pop","F","Austria",2014-10-01,4.9
"TOTAL","perc_act_pop","F","Austria",2014-09-01,5.4
"TOTAL","perc_act_pop","F","Austria",2014-08-01,5.4
"TOTAL","perc_act_pop","F","Austria",2014-07-01,5.4
"TOTAL","perc_act_pop","F","Austria",2014-06-01,5.2
"TOTAL","perc_act_pop","F","Austria",2014-05-01,5.3
"TOTAL","perc_act_pop","F","Austria",2014-04-01,4.6
"TOTAL","perc_act_pop","F","Austria",2014-03-01,6.1
"TOTAL","perc_act_pop","F","Austria",2014-02-01,5.5
"TOTAL","perc_act_pop","F","Austria",2014-01-01,5.8
"TOTAL","perc_act_pop","F","Austria",2013-12-01,5.4
"TOTAL","perc_act_pop","F","Austria",2013-11-01,6.1
"TOTAL","perc_act_pop","F","Austria",2013-10-01,5.4
"TOTAL","perc_act_pop","F","Austria",2013-09-01,6.1
"TOTAL","perc_act_pop","F","Austria",2013-08-01,4.8
"TOTAL","perc_act_pop","F","Austria",2013-07-01,5.4
"TOTAL","perc_act_pop","F","Austria",2013-06-01,5
"TOTAL","perc_act_pop","F","Austria",2013-05-01,4.6
"TOTAL","perc_act_pop","F","Austria",2013-04-01,4.8
"TOTAL","perc_act_pop","F","Austria",2013-03-01,5.6
"TOTAL","perc_act_pop","F","Austria",2013-02-01,5.2
"TOTAL","perc_act_pop","F","Austria",2013-01-01,5.3
"TOTAL","perc_act_pop","F","Austria",2012-12-01,4.6
"TOTAL","perc_act_pop","F","Austria",2012-11-01,4.7
"TOTAL","perc_act_pop","F","Austria",2012-10-01,4.6
"TOTAL","perc_act_pop","F","Austria",2012-09-01,5
"TOTAL","perc_act_pop","F","Austria",2012-08-01,5.2
"TOTAL","perc_act_pop","F","Austria",2012-07-01,4.9
"TOTAL","perc_act_pop","F","Austria",2012-06-01,5
"TOTAL","perc_act_pop","F","Austria",2012-05-01,4.1
"TOTAL","perc_act_pop","F","Austria",2012-04-01,4.5
"TOTAL","perc_act_pop","F","Austria",2012-03-01,5
"TOTAL","perc_act_pop","F","Austria",2012-02-01,5.4
"TOTAL","perc_act_pop","F","Austria",2012-01-01,4.5
"TOTAL","perc_act_pop","F","Austria",2011-12-01,5
"TOTAL","perc_act_pop","F","Austria",2011-11-01,5.5
"TOTAL","perc_act_pop","F","Austria",2011-10-01,5.1
"TOTAL","perc_act_pop","F","Austria",2011-09-01,4.1
"TOTAL","perc_act_pop","F","Austria",2011-08-01,4.1
"TOTAL","perc_act_pop","F","Austria",2011-07-01,4.1
"TOTAL","perc_act_pop","F","Austria",2011-06-01,4.3
"TOTAL","perc_act_pop","F","Austria",2011-05-01,4.2
"TOTAL","perc_act_pop","F","Austria",2011-04-01,4.1
"TOTAL","perc_act_pop","F","Austria",2011-03-01,4.7
"TOTAL","perc_act_pop","F","Austria",2011-02-01,5.6
"TOTAL","perc_act_pop","F","Austria",2011-01-01,4.4
"TOTAL","perc_act_pop","F","Austria",2010-12-01,4.3
"TOTAL","perc_act_pop","F","Austria",2010-11-01,4.3
"TOTAL","perc_act_pop","F","Austria",2010-10-01,5.1
"TOTAL","perc_act_pop","F","Austria",2010-09-01,4.7
"TOTAL","perc_act_pop","F","Austria",2010-08-01,4.6
"TOTAL","perc_act_pop","F","Austria",2010-07-01,4.7
"TOTAL","perc_act_pop","F","Austria",2010-06-01,4.5
"TOTAL","perc_act_pop","F","Austria",2010-05-01,4.5
"TOTAL","perc_act_pop","F","Austria",2010-04-01,5
"TOTAL","perc_act_pop","F","Austria",2010-03-01,4.5
"TOTAL","perc_act_pop","F","Austria",2010-02-01,4.9
"TOTAL","perc_act_pop","F","Austria",2010-01-01,4.5
"TOTAL","perc_act_pop","F","Belgium",2020-06-01,5
"TOTAL","perc_act_pop","F","Belgium",2020-05-01,5
"TOTAL","perc_act_pop","F","Belgium",2020-04-01,5.2
"TOTAL","perc_act_pop","F","Belgium",2020-03-01,5
"TOTAL","perc_act_pop","F","Belgium",2020-02-01,4.9
"TOTAL","perc_act_pop","F","Belgium",2020-01-01,4.8
"TOTAL","perc_act_pop","F","Belgium",2019-12-01,4.6
"TOTAL","perc_act_pop","F","Belgium",2019-11-01,4.5
"TOTAL","perc_act_pop","F","Belgium",2019-10-01,4.7
"TOTAL","perc_act_pop","F","Belgium",2019-09-01,5
"TOTAL","perc_act_pop","F","Belgium",2019-08-01,5.3
"TOTAL","perc_act_pop","F","Belgium",2019-07-01,5.3
"TOTAL","perc_act_pop","F","Belgium",2019-06-01,5
"TOTAL","perc_act_pop","F","Belgium",2019-05-01,4.9
"TOTAL","perc_act_pop","F","Belgium",2019-04-01,5
"TOTAL","perc_act_pop","F","Belgium",2019-03-01,4.9
"TOTAL","perc_act_pop","F","Belgium",2019-02-01,4.9
"TOTAL","perc_act_pop","F","Belgium",2019-01-01,5.1
"TOTAL","perc_act_pop","F","Belgium",2018-12-01,5.2
"TOTAL","perc_act_pop","F","Belgium",2018-11-01,5.2
"TOTAL","perc_act_pop","F","Belgium",2018-10-01,5.3
"TOTAL","perc_act_pop","F","Belgium",2018-09-01,5.2
"TOTAL","perc_act_pop","F","Belgium",2018-08-01,5.4
"TOTAL","perc_act_pop","F","Belgium",2018-07-01,5.7
"TOTAL","perc_act_pop","F","Belgium",2018-06-01,5.7
"TOTAL","perc_act_pop","F","Belgium",2018-05-01,5.9
"TOTAL","perc_act_pop","F","Belgium",2018-04-01,6.1
"TOTAL","perc_act_pop","F","Belgium",2018-03-01,5.8
"TOTAL","perc_act_pop","F","Belgium",2018-02-01,5.7
"TOTAL","perc_act_pop","F","Belgium",2018-01-01,5.8
"TOTAL","perc_act_pop","F","Belgium",2017-12-01,6
"TOTAL","perc_act_pop","F","Belgium",2017-11-01,6.2
"TOTAL","perc_act_pop","F","Belgium",2017-10-01,6.5
"TOTAL","perc_act_pop","F","Belgium",2017-09-01,6.7
"TOTAL","perc_act_pop","F","Belgium",2017-08-01,7
"TOTAL","perc_act_pop","F","Belgium",2017-07-01,7.1
"TOTAL","perc_act_pop","F","Belgium",2017-06-01,6.7
"TOTAL","perc_act_pop","F","Belgium",2017-05-01,7
"TOTAL","perc_act_pop","F","Belgium",2017-04-01,7.5
"TOTAL","perc_act_pop","F","Belgium",2017-03-01,8
"TOTAL","perc_act_pop","F","Belgium",2017-02-01,8.2
"TOTAL","perc_act_pop","F","Belgium",2017-01-01,NA
"TOTAL","perc_act_pop","F","Belgium",2016-12-01,6.8
"TOTAL","perc_act_pop","F","Belgium",2016-11-01,6.5
"TOTAL","perc_act_pop","F","Belgium",2016-10-01,6.6
"TOTAL","perc_act_pop","F","Belgium",2016-09-01,7.3
"TOTAL","perc_act_pop","F","Belgium",2016-08-01,8.1
"TOTAL","perc_act_pop","F","Belgium",2016-07-01,8.3
"TOTAL","perc_act_pop","F","Belgium",2016-06-01,8
"TOTAL","perc_act_pop","F","Belgium",2016-05-01,8
"TOTAL","perc_act_pop","F","Belgium",2016-04-01,8.1
"TOTAL","perc_act_pop","F","Belgium",2016-03-01,7.8
"TOTAL","perc_act_pop","F","Belgium",2016-02-01,7.7
"TOTAL","perc_act_pop","F","Belgium",2016-01-01,7.8
"TOTAL","perc_act_pop","F","Belgium",2015-12-01,8
"TOTAL","perc_act_pop","F","Belgium",2015-11-01,8.1
"TOTAL","perc_act_pop","F","Belgium",2015-10-01,8.1
"TOTAL","perc_act_pop","F","Belgium",2015-09-01,7.9
"TOTAL","perc_act_pop","F","Belgium",2015-08-01,7.9
"TOTAL","perc_act_pop","F","Belgium",2015-07-01,7.6
"TOTAL","perc_act_pop","F","Belgium",2015-06-01,7.1
"TOTAL","perc_act_pop","F","Belgium",2015-05-01,7.1
"TOTAL","perc_act_pop","F","Belgium",2015-04-01,7.4
"TOTAL","perc_act_pop","F","Belgium",2015-03-01,7.8
"TOTAL","perc_act_pop","F","Belgium",2015-02-01,8.1
"TOTAL","perc_act_pop","F","Belgium",2015-01-01,8.2
"TOTAL","perc_act_pop","F","Belgium",2014-12-01,8.1
"TOTAL","perc_act_pop","F","Belgium",2014-11-01,8.1
"TOTAL","perc_act_pop","F","Belgium",2014-10-01,8.2
"TOTAL","perc_act_pop","F","Belgium",2014-09-01,8.3
"TOTAL","perc_act_pop","F","Belgium",2014-08-01,8.4
"TOTAL","perc_act_pop","F","Belgium",2014-07-01,8.2
"TOTAL","perc_act_pop","F","Belgium",2014-06-01,7.2
"TOTAL","perc_act_pop","F","Belgium",2014-05-01,7.1
"TOTAL","perc_act_pop","F","Belgium",2014-04-01,7.4
"TOTAL","perc_act_pop","F","Belgium",2014-03-01,7.8
"TOTAL","perc_act_pop","F","Belgium",2014-02-01,8.1
"TOTAL","perc_act_pop","F","Belgium",2014-01-01,8.3
"TOTAL","perc_act_pop","F","Belgium",2013-12-01,8.2
"TOTAL","perc_act_pop","F","Belgium",2013-11-01,8.1
"TOTAL","perc_act_pop","F","Belgium",2013-10-01,8.2
"TOTAL","perc_act_pop","F","Belgium",2013-09-01,8.3
"TOTAL","perc_act_pop","F","Belgium",2013-08-01,8.6
"TOTAL","perc_act_pop","F","Belgium",2013-07-01,8.5
"TOTAL","perc_act_pop","F","Belgium",2013-06-01,7.9
"TOTAL","perc_act_pop","F","Belgium",2013-05-01,8
"TOTAL","perc_act_pop","F","Belgium",2013-04-01,8.1
"TOTAL","perc_act_pop","F","Belgium",2013-03-01,8.1
"TOTAL","perc_act_pop","F","Belgium",2013-02-01,8.1
"TOTAL","perc_act_pop","F","Belgium",2013-01-01,8
"TOTAL","perc_act_pop","F","Belgium",2012-12-01,7.6
"TOTAL","perc_act_pop","F","Belgium",2012-11-01,7.4
"TOTAL","perc_act_pop","F","Belgium",2012-10-01,7.5
"TOTAL","perc_act_pop","F","Belgium",2012-09-01,7.6
"TOTAL","perc_act_pop","F","Belgium",2012-08-01,8
"TOTAL","perc_act_pop","F","Belgium",2012-07-01,7.8
"TOTAL","perc_act_pop","F","Belgium",2012-06-01,7.2
"TOTAL","perc_act_pop","F","Belgium",2012-05-01,7.1
"TOTAL","perc_act_pop","F","Belgium",2012-04-01,7.2
"TOTAL","perc_act_pop","F","Belgium",2012-03-01,7.2
"TOTAL","perc_act_pop","F","Belgium",2012-02-01,7.2
"TOTAL","perc_act_pop","F","Belgium",2012-01-01,7.2
"TOTAL","perc_act_pop","F","Belgium",2011-12-01,7
"TOTAL","perc_act_pop","F","Belgium",2011-11-01,7.1
"TOTAL","perc_act_pop","F","Belgium",2011-10-01,7.3
"TOTAL","perc_act_pop","F","Belgium",2011-09-01,7.8
"TOTAL","perc_act_pop","F","Belgium",2011-08-01,8.3
"TOTAL","perc_act_pop","F","Belgium",2011-07-01,7.9
"TOTAL","perc_act_pop","F","Belgium",2011-06-01,6.9
"TOTAL","perc_act_pop","F","Belgium",2011-05-01,6.6
"TOTAL","perc_act_pop","F","Belgium",2011-04-01,6.6
"TOTAL","perc_act_pop","F","Belgium",2011-03-01,6.6
"TOTAL","perc_act_pop","F","Belgium",2011-02-01,6.8
"TOTAL","perc_act_pop","F","Belgium",2011-01-01,7.2
"TOTAL","perc_act_pop","F","Belgium",2010-12-01,7.7
"TOTAL","perc_act_pop","F","Belgium",2010-11-01,8
"TOTAL","perc_act_pop","F","Belgium",2010-10-01,8.4
"TOTAL","perc_act_pop","F","Belgium",2010-09-01,8.8
"TOTAL","perc_act_pop","F","Belgium",2010-08-01,9.2
"TOTAL","perc_act_pop","F","Belgium",2010-07-01,9
"TOTAL","perc_act_pop","F","Belgium",2010-06-01,8.1
"TOTAL","perc_act_pop","F","Belgium",2010-05-01,8
"TOTAL","perc_act_pop","F","Belgium",2010-04-01,8.3
"TOTAL","perc_act_pop","F","Belgium",2010-03-01,8.7
"TOTAL","perc_act_pop","F","Belgium",2010-02-01,9
"TOTAL","perc_act_pop","F","Belgium",2010-01-01,9.1
"TOTAL","perc_act_pop","F","Bulgaria",2020-06-01,3.9
"TOTAL","perc_act_pop","F","Bulgaria",2020-05-01,4.2
"TOTAL","perc_act_pop","F","Bulgaria",2020-04-01,4.7
"TOTAL","perc_act_pop","F","Bulgaria",2020-03-01,4.1
"TOTAL","perc_act_pop","F","Bulgaria",2020-02-01,4.2
"TOTAL","perc_act_pop","F","Bulgaria",2020-01-01,4.3
"TOTAL","perc_act_pop","F","Bulgaria",2019-12-01,3.9
"TOTAL","perc_act_pop","F","Bulgaria",2019-11-01,3.8
"TOTAL","perc_act_pop","F","Bulgaria",2019-10-01,3.6
"TOTAL","perc_act_pop","F","Bulgaria",2019-09-01,3.4
"TOTAL","perc_act_pop","F","Bulgaria",2019-08-01,3.4
"TOTAL","perc_act_pop","F","Bulgaria",2019-07-01,3.5
"TOTAL","perc_act_pop","F","Bulgaria",2019-06-01,3.5
"TOTAL","perc_act_pop","F","Bulgaria",2019-05-01,3.7
"TOTAL","perc_act_pop","F","Bulgaria",2019-04-01,4
"TOTAL","perc_act_pop","F","Bulgaria",2019-03-01,4.4
"TOTAL","perc_act_pop","F","Bulgaria",2019-02-01,4.7
"TOTAL","perc_act_pop","F","Bulgaria",2019-01-01,4.7
"TOTAL","perc_act_pop","F","Bulgaria",2018-12-01,4.3
"TOTAL","perc_act_pop","F","Bulgaria",2018-11-01,4.3
"TOTAL","perc_act_pop","F","Bulgaria",2018-10-01,4.4
"TOTAL","perc_act_pop","F","Bulgaria",2018-09-01,4.4
"TOTAL","perc_act_pop","F","Bulgaria",2018-08-01,4.6
"TOTAL","perc_act_pop","F","Bulgaria",2018-07-01,4.6
"TOTAL","perc_act_pop","F","Bulgaria",2018-06-01,4.6
"TOTAL","perc_act_pop","F","Bulgaria",2018-05-01,4.7
"TOTAL","perc_act_pop","F","Bulgaria",2018-04-01,4.8
"TOTAL","perc_act_pop","F","Bulgaria",2018-03-01,4.8
"TOTAL","perc_act_pop","F","Bulgaria",2018-02-01,5
"TOTAL","perc_act_pop","F","Bulgaria",2018-01-01,5.4
"TOTAL","perc_act_pop","F","Bulgaria",2017-12-01,5.6
"TOTAL","perc_act_pop","F","Bulgaria",2017-11-01,5.8
"TOTAL","perc_act_pop","F","Bulgaria",2017-10-01,5.7
"TOTAL","perc_act_pop","F","Bulgaria",2017-09-01,5.5
"TOTAL","perc_act_pop","F","Bulgaria",2017-08-01,5.6
"TOTAL","perc_act_pop","F","Bulgaria",2017-07-01,5.5
"TOTAL","perc_act_pop","F","Bulgaria",2017-06-01,5.4
"TOTAL","perc_act_pop","F","Bulgaria",2017-05-01,5.6
"TOTAL","perc_act_pop","F","Bulgaria",2017-04-01,6.1
"TOTAL","perc_act_pop","F","Bulgaria",2017-03-01,6.7
"TOTAL","perc_act_pop","F","Bulgaria",2017-02-01,7.1
"TOTAL","perc_act_pop","F","Bulgaria",2017-01-01,7
"TOTAL","perc_act_pop","F","Bulgaria",2016-12-01,6.6
"TOTAL","perc_act_pop","F","Bulgaria",2016-11-01,6.5
"TOTAL","perc_act_pop","F","Bulgaria",2016-10-01,6.4
"TOTAL","perc_act_pop","F","Bulgaria",2016-09-01,6.3
"TOTAL","perc_act_pop","F","Bulgaria",2016-08-01,6.5
"TOTAL","perc_act_pop","F","Bulgaria",2016-07-01,6.6
"TOTAL","perc_act_pop","F","Bulgaria",2016-06-01,6.8
"TOTAL","perc_act_pop","F","Bulgaria",2016-05-01,7.1
"TOTAL","perc_act_pop","F","Bulgaria",2016-04-01,7.5
"TOTAL","perc_act_pop","F","Bulgaria",2016-03-01,7.8
"TOTAL","perc_act_pop","F","Bulgaria",2016-02-01,7.7
"TOTAL","perc_act_pop","F","Bulgaria",2016-01-01,7.8
"TOTAL","perc_act_pop","F","Bulgaria",2015-12-01,7.7
"TOTAL","perc_act_pop","F","Bulgaria",2015-11-01,7.7
"TOTAL","perc_act_pop","F","Bulgaria",2015-10-01,7.6
"TOTAL","perc_act_pop","F","Bulgaria",2015-09-01,7.4
"TOTAL","perc_act_pop","F","Bulgaria",2015-08-01,7.6
"TOTAL","perc_act_pop","F","Bulgaria",2015-07-01,7.8
"TOTAL","perc_act_pop","F","Bulgaria",2015-06-01,8.2
"TOTAL","perc_act_pop","F","Bulgaria",2015-05-01,8.8
"TOTAL","perc_act_pop","F","Bulgaria",2015-04-01,9.4
"TOTAL","perc_act_pop","F","Bulgaria",2015-03-01,9.6
"TOTAL","perc_act_pop","F","Bulgaria",2015-02-01,9.7
"TOTAL","perc_act_pop","F","Bulgaria",2015-01-01,9.8
"TOTAL","perc_act_pop","F","Bulgaria",2014-12-01,9.5
"TOTAL","perc_act_pop","F","Bulgaria",2014-11-01,9.7
"TOTAL","perc_act_pop","F","Bulgaria",2014-10-01,9.8
"TOTAL","perc_act_pop","F","Bulgaria",2014-09-01,9.9
"TOTAL","perc_act_pop","F","Bulgaria",2014-08-01,9.8
"TOTAL","perc_act_pop","F","Bulgaria",2014-07-01,9.9
"TOTAL","perc_act_pop","F","Bulgaria",2014-06-01,9.6
"TOTAL","perc_act_pop","F","Bulgaria",2014-05-01,10
"TOTAL","perc_act_pop","F","Bulgaria",2014-04-01,10.7
"TOTAL","perc_act_pop","F","Bulgaria",2014-03-01,11.6
"TOTAL","perc_act_pop","F","Bulgaria",2014-02-01,12.1
"TOTAL","perc_act_pop","F","Bulgaria",2014-01-01,12.4
"TOTAL","perc_act_pop","F","Bulgaria",2013-12-01,12.3
"TOTAL","perc_act_pop","F","Bulgaria",2013-11-01,12.2
"TOTAL","perc_act_pop","F","Bulgaria",2013-10-01,12
"TOTAL","perc_act_pop","F","Bulgaria",2013-09-01,11.4
"TOTAL","perc_act_pop","F","Bulgaria",2013-08-01,11.2
"TOTAL","perc_act_pop","F","Bulgaria",2013-07-01,11.4
"TOTAL","perc_act_pop","F","Bulgaria",2013-06-01,11.3
"TOTAL","perc_act_pop","F","Bulgaria",2013-05-01,11.6
"TOTAL","perc_act_pop","F","Bulgaria",2013-04-01,12.2
"TOTAL","perc_act_pop","F","Bulgaria",2013-03-01,12.3
"TOTAL","perc_act_pop","F","Bulgaria",2013-02-01,12.2
"TOTAL","perc_act_pop","F","Bulgaria",2013-01-01,12.1
"TOTAL","perc_act_pop","F","Bulgaria",2012-12-01,11.7
"TOTAL","perc_act_pop","F","Bulgaria",2012-11-01,11.6
"TOTAL","perc_act_pop","F","Bulgaria",2012-10-01,11
"TOTAL","perc_act_pop","F","Bulgaria",2012-09-01,10.2
"TOTAL","perc_act_pop","F","Bulgaria",2012-08-01,10.1
"TOTAL","perc_act_pop","F","Bulgaria",2012-07-01,10.2
"TOTAL","perc_act_pop","F","Bulgaria",2012-06-01,10.4
"TOTAL","perc_act_pop","F","Bulgaria",2012-05-01,10.7
"TOTAL","perc_act_pop","F","Bulgaria",2012-04-01,11.2
"TOTAL","perc_act_pop","F","Bulgaria",2012-03-01,11.2
"TOTAL","perc_act_pop","F","Bulgaria",2012-02-01,11.1
"TOTAL","perc_act_pop","F","Bulgaria",2012-01-01,10.9
"TOTAL","perc_act_pop","F","Bulgaria",2011-12-01,10.4
"TOTAL","perc_act_pop","F","Bulgaria",2011-11-01,10.1
"TOTAL","perc_act_pop","F","Bulgaria",2011-10-01,9.6
"TOTAL","perc_act_pop","F","Bulgaria",2011-09-01,9.3
"TOTAL","perc_act_pop","F","Bulgaria",2011-08-01,9.3
"TOTAL","perc_act_pop","F","Bulgaria",2011-07-01,9.5
"TOTAL","perc_act_pop","F","Bulgaria",2011-06-01,9.7
"TOTAL","perc_act_pop","F","Bulgaria",2011-05-01,10.1
"TOTAL","perc_act_pop","F","Bulgaria",2011-04-01,10.6
"TOTAL","perc_act_pop","F","Bulgaria",2011-03-01,10.7
"TOTAL","perc_act_pop","F","Bulgaria",2011-02-01,11
"TOTAL","perc_act_pop","F","Bulgaria",2011-01-01,11.1
"TOTAL","perc_act_pop","F","Bulgaria",2010-12-01,NA
"TOTAL","perc_act_pop","F","Bulgaria",2010-11-01,10.6
"TOTAL","perc_act_pop","F","Bulgaria",2010-10-01,9.9
"TOTAL","perc_act_pop","F","Bulgaria",2010-09-01,9.2
"TOTAL","perc_act_pop","F","Bulgaria",2010-08-01,8.9
"TOTAL","perc_act_pop","F","Bulgaria",2010-07-01,8.9
"TOTAL","perc_act_pop","F","Bulgaria",2010-06-01,9.1
"TOTAL","perc_act_pop","F","Bulgaria",2010-05-01,9.5
"TOTAL","perc_act_pop","F","Bulgaria",2010-04-01,9.8
"TOTAL","perc_act_pop","F","Bulgaria",2010-03-01,9.6
"TOTAL","perc_act_pop","F","Bulgaria",2010-02-01,9.6
"TOTAL","perc_act_pop","F","Bulgaria",2010-01-01,9.3
"TOTAL","perc_act_pop","F","Switzerland",2020-06-01,NA
"TOTAL","perc_act_pop","F","Switzerland",2020-05-01,NA
"TOTAL","perc_act_pop","F","Switzerland",2020-04-01,NA
"TOTAL","perc_act_pop","F","Switzerland",2020-03-01,4.8
"TOTAL","perc_act_pop","F","Switzerland",2020-02-01,4.5
"TOTAL","perc_act_pop","F","Switzerland",2020-01-01,4.4
"TOTAL","perc_act_pop","F","Switzerland",2019-12-01,4.1
"TOTAL","perc_act_pop","F","Switzerland",2019-11-01,4
"TOTAL","perc_act_pop","F","Switzerland",2019-10-01,4.2
"TOTAL","perc_act_pop","F","Switzerland",2019-09-01,4.9
"TOTAL","perc_act_pop","F","Switzerland",2019-08-01,5
"TOTAL","perc_act_pop","F","Switzerland",2019-07-01,4.8
"TOTAL","perc_act_pop","F","Switzerland",2019-06-01,4.3
"TOTAL","perc_act_pop","F","Switzerland",2019-05-01,4.3
"TOTAL","perc_act_pop","F","Switzerland",2019-04-01,4.6
"TOTAL","perc_act_pop","F","Switzerland",2019-03-01,5.2
"TOTAL","perc_act_pop","F","Switzerland",2019-02-01,5.5
"TOTAL","perc_act_pop","F","Switzerland",2019-01-01,5.4
"TOTAL","perc_act_pop","F","Switzerland",2018-12-01,5.2
"TOTAL","perc_act_pop","F","Switzerland",2018-11-01,5.2
"TOTAL","perc_act_pop","F","Switzerland",2018-10-01,5
"TOTAL","perc_act_pop","F","Switzerland",2018-09-01,4.7
"TOTAL","perc_act_pop","F","Switzerland",2018-08-01,4.6
"TOTAL","perc_act_pop","F","Switzerland",2018-07-01,4.7
"TOTAL","perc_act_pop","F","Switzerland",2018-06-01,5
"TOTAL","perc_act_pop","F","Switzerland",2018-05-01,5.3
"TOTAL","perc_act_pop","F","Switzerland",2018-04-01,5.4
"TOTAL","perc_act_pop","F","Switzerland",2018-03-01,5.4
"TOTAL","perc_act_pop","F","Switzerland",2018-02-01,5.5
"TOTAL","perc_act_pop","F","Switzerland",2018-01-01,5.4
"TOTAL","perc_act_pop","F","Switzerland",2017-12-01,4.9
"TOTAL","perc_act_pop","F","Switzerland",2017-11-01,4.8
"TOTAL","perc_act_pop","F","Switzerland",2017-10-01,4.9
"TOTAL","perc_act_pop","F","Switzerland",2017-09-01,5.4
"TOTAL","perc_act_pop","F","Switzerland",2017-08-01,5.5
"TOTAL","perc_act_pop","F","Switzerland",2017-07-01,5.3
"TOTAL","perc_act_pop","F","Switzerland",2017-06-01,4.8
"TOTAL","perc_act_pop","F","Switzerland",2017-05-01,4.7
"TOTAL","perc_act_pop","F","Switzerland",2017-04-01,4.9
"TOTAL","perc_act_pop","F","Switzerland",2017-03-01,5.1
"TOTAL","perc_act_pop","F","Switzerland",2017-02-01,5.2
"TOTAL","perc_act_pop","F","Switzerland",2017-01-01,5.1
